DATE,LOC,lat,long,NAME
2/20/2016,"Kalamazoo County, Michigan",42.227835,-85.520024,Kalamazoo shooting spree
12/2/2015,"San Bernardino, California",34.108345,-117.289765,San Bernardino mass shooting
10/1/2015,"Roseburg, Oregon",43.216505,-123.341738,Umpqua Community College shooting
7/16/2015,"Chattanooga, Tennessee",35.047157,-85.311819,Chattanooga military recruitment center
6/17/2015,"Charleston, South Carolina",32.788387,-79.933143,Charleston Church Shooting
10/24/2014,"Marysville, Washington",48.050824,-122.176918,Marysville-Pilchuck High Schoolshooting
2/20/2014,"Alturas, California",41.487104,-120.542237,Alturas tribal shooting
9/16/2013,"Washington, D.C.",38.874981,-76.99453,Washington Navy Yard shooting
7/26/2013,"Hialeah, Florida",25.8670105,-80.29146268,Hialeah apartment shooting
6/7/2013,"Santa Monica, California",34.008617,-118.494754,Santa Monica rampage
4/21/2013,"Federal Way, Washington",47.3129607,-122.3393665,Pinewood Village Apartment shooting
3/13/2013,"Herkimer County, New York",43.045601,-74.984891,Mohawk Valley shootings
12/14/2012,"Newtown, Connecticut",41.4123225,-73.31142358,Newtown school shooting
9/27/2012,"Minneapolis, Minnesota",44.9772995,-93.2654692,Accent Signage Systems shooting
8/5/2012,"Oak Creek, Wisconsin",42.8858503,-87.8631362,Sikh temple shooting
7/20/2012,"Aurora, Colorado",39.709283,-104.823488,Aurora theater shooting
5/20/2012,"Seattle, Washington",47.6038321,-122.3300624,Seattle cafe shooting
4/2/2012,"Oakland, California",37.8043808,-122.2708166,Oikos University killings
2/22/2012,"Norcross, Georgia",33.9412127,-84.2135309,Su Jung Health Sauna shooting
10/14/2011,"Seal Beach, California",33.741176,-118.1046356,Seal Beach shooting
9/6/2011,"Carson City, Nevada",39.1637984,-119.7674034,IHOP shooting
1/8/2011,"Tucson, Arizona",32.2217429,-110.926479,Tucson shooting
8/3/2010,"Manchester, Connecticut",41.7759324,-72.5214755,Hartford Beer Distributor shooting
11/29/2009,"Parkland, Washington",47.155846,-122.437031,Coffee shop police killings
11/5/2009,"Fort Hood, Texas",31.2011305,-97.77156996,Fort Hood massacre
4/3/2009,"Binghamton, New York",42.0986867,-75.9179738,Binghamton shootings
3/29/2009,"Carthage, North Carolina",35.345802,-79.4170543,Carthage nursing home shooting
6/25/2008,"Henderson, Kentucky",37.76721,-87.5573742,Atlantis Plastics shooting
2/14/2008,"DeKalb, Illinois",41.9294736,-88.7503647,Northern Illinois University shooting
2/7/2008,"Kirkwood, Missouri",38.5833862,-90.406785,Kirkwood City Council shooting
12/5/2007,"Omaha, Nebraska",41.2587317,-95.9378732,Westroads Mall shooting
10/7/2007,"Crandon, Wisconsin",45.5719072,-88.9028922,Crandon shooting
4/16/2007,"Blacksburg, Virginia",37.2295733,-80.4139393,Virginia Tech massacre
2/12/2007,"Salt Lake City, Utah",40.7606467,-111.89109,Trolley Square shooting
10/2/2006,"Lancaster County, Pennsylvania",39.9589,-76.0806,Amish school shooting
3/25/2006,"Seattle, Washington",47.6229,-122.3165,Capitol Hill massacre
1/30/2006,"Goleta, California",34.436283,-119.8714406,Goleta postal shootings